fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,April,15,KARNATAKA,1506,BIDAR,578359,198.0748682,14,183,1366.703108,940,0,19676,576636,153142,75349,97362,46080,0,2508.874105,38956,62106,135098,278397,0,223484,456122,20616,1142.170997,309522,64,78.48,77.97,107.02,NA
2021-2022,April,15,KARNATAKA,1507,VIJAYPURA,455896,230.2094448,14,234,2263.474408,903,2,21318,454717,74157,67576,5514,4489,0,3310.275889,30963,49969,150301,339573,3,299885,722334,22221,1046.801481,205445,71,74.55,79.42,100.75,NA
2021-2022,April,15,KARNATAKA,1508,CHAMARAJA NAGARA,182352,194.7366788,12,136,2.88,1563,5,13504,182243,49057,84507,14930,31975,69.8,427.5739656,14250,23287,127870,300945,0,210364,499531,15067,354.8939656,92325,77,71.11,46.48,100.78,NA
2021-2022,April,15,KARNATAKA,1513,DHARWAR,244612,224.1029274,15,53,2.04,900,6,19535,243356,19768,17612,12140,12167,35,582.40792,15424,27995,78722,214161,0,148984,386904,20435,545.36792,107475,83,56.38,44.19,101.47,NA
2021-2022,April,15,KARNATAKA,1524,SHIVAMOGGA,540889,184.3359946,14,211,287.7567508,756,2,19502,540006,102378,85549,27940,18927,0,1283.182182,37411,60663,157056,399781,0,230663,552336,20258,995.4254311,283969,76,89.14,84.37,100.93,NA
2021-2022,April,15,KARNATAKA,1525,TUMAKURU,545244,207.6888511,16,244,934.4699339,2191,6,43302,543575,64731,79184,31175,40325,0,2063.414606,32032,56522,211328,529037,4,418167,1046015,45493,1128.944673,262872,84,65.14,53.75,99.91,NA
2021-2022,March,15,KARNATAKA,1501,BAGALKOTE,6294982,284.7780669,51,2875,7866.470686,24576,0,17720,6375929,1018541,56767,409722,23417,544.46817,26568.18621,123958,222383,151549,337874,16751,253310,545268,42296,18157.24736,3269463,71,49.64,64.75,100.03,NA
2021-2022,March,15,KARNATAKA,1510,CHITRADURGA,6318842,293.3206102,47,455,4791.831343,27657,0,41128,6271578,1227059,100132,1460356,91917,683.22,23870.8822,133174,243398,187094,459387,1143,323658,795055,68785,18395.83086,3267093,70,76.18,78.47,102.18,NA
2021-2022,March,15,KARNATAKA,1523,RAICHUR,12134433,256.7175755,54,963,12520.61877,27853,0,30613,13525145,2321888,110131,3071538,137046,271,47513.0431,246808,505770,261571,640325,22441,352838,849558,58466,34721.42433,6865136,69,64.55,71.81,100.15,NA
2021-2022,March,15,KARNATAKA,1525,TUMAKURU,7635972,288.6248069,48,1067,10272.17756,33682,2,54360,7732351,995370,80982,534402,41216,511.6335,33101.29421,158104,302226,218124,541754,1192,430314,1057376,88042,22317.48315,3768430,84,70.44,67.95,100.03,NA
