fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,Dec,15,KARNATAKA,1502,BENGALURU,75600,289.561048,33,9,249.6358011,1434,9,2056,93048,16261,3786,1445,403,19.86549,538.932055,2754,4646,7178,16508,19,60469,138540,3490,269.4307639,49694,87,63.22,51.59,100.25,NA
2022-2023,Dec,15,KARNATAKA,1504,BELAGAVI,9240000,295.6820748,41,3322,26986.72979,57359,4,78216,10360148,984679,103257,1023590,80651,1311.36977,58931.20011,248255,378892,411231,904055,2120,787518,1695150,135575,30633.10056,5551800,74,45.85,62.54,100.26,NA
2022-2023,Dec,15,KARNATAKA,1506,BIDAR,3780000,300.955375,39,481,11496.45392,20230,0,32732,4245320,1039452,78534,749280,50872,541.50578,24814.47843,108614,178551,146292,288307,159,238229,492470,52962,12776.51873,2232251,57,47.32,55.55,100.72,NA
2022-2023,Dec,15,KARNATAKA,1508,CHAMARAJA NAGARA,2352000,298.2811597,32,428,5821.517469,14004,0,8465,1731436,445450,89777,150900,34291,312.52904,11298.59389,52920,86248,132815,310807,197,218512,518439,22469,5164.547381,940321,78,57.36,56.61,101.25,NA
2022-2023,Dec,15,KARNATAKA,1522,MYSURU,2772000,295.4564346,35,223,5862.33947,24962,3,46757,2319596,390512,81062,249146,47582,361.03223,13076.76734,65828,118928,159293,406042,571,335848,852455,71719,6853.395638,1162438,80,51.98,56.25,100.31,NA
2022-2023,Dec,15,KARNATAKA,1531,VIJAYANAGARA,4368000,283.139038,51,993,7536.26927,20902,0,21231,6513613,1541261,109625,1477795,88620,349.3189,26328.16936,127039,255843,165444,439281,3670,239457,657841,42133,18442.58119,3330191,62,80.46,88.76,100.11,NA
2022-2023,Aug,15,KARNATAKA,1502,BENGALURU,55800,273.1327278,31,6,101.1610656,653,9,1836,49458,8789,3666,858,392,4.62214,240.8691901,1595,2910,6705,15781,8,57819,135090,2489,135.0859845,25228,85,64.45,47.39,100.09,NA
2022-2023,Aug,15,KARNATAKA,1503,BENGALURU RURAL,992000,286.1117418,33,350,1038.089241,4070,0,19885,752329,108325,27742,41516,8592,93.20631,3283.797157,22207,38495,60833,142852,59,112568,258371,23955,2152.501606,370587,76,65.99,72.86,100.1,NA
2022-2023,Aug,15,KARNATAKA,1505,BALLARI,2852000,271.7559806,48,1616,2948.146151,5355,0,20483,4200343,854831,65592,1346141,91663,151.87846,14514.70792,87455,189828,106934,310929,1537,160858,473786,25838,11414.68331,2245170,55,78.6,86.38,100.03,NA
2022-2023,Aug,15,KARNATAKA,1507,VIJAYPURA,2604000,293.0058247,28,1133,6137.594635,16539,0,32238,2355011,454510,71851,39214,5910,197.51133,13235.42537,83761,133652,159267,343638,199,327830,761603,48777,6900.319404,1222256,78,61.55,79.29,100.09,NA
2022-2023,Aug,15,KARNATAKA,1513,DHARWAR,1550000,296.5993405,30,153,3790.97113,16085,1,25212,1202750,105751,20353,74415,15528,169.44497,7527.764669,39338,72064,85162,225685,48,164350,413364,41297,3567.348568,523103,80,55.59,57.34,100.55,NA
2022-2023,Aug,15,KARNATAKA,1522,MYSURU,2046000,299.4882209,28,147,3619.187235,15050,6,47734,1226878,209452,80670,132328,47284,174.42457,7467.9669,43456,78782,157734,403205,153,331867,850786,62784,3674.355095,604866,79,53.81,54.54,100.28,NA
2022-2023,Aug,15,KARNATAKA,1526,UDUPI,434000,307.4745989,34,54,812.0329122,3871,3,10786,531749,25141,6458,23799,6453,65.90772,2512.933737,15611,27569,44457,106624,200,114923,236193,14657,1634.993105,325780,87,80.39,66.05,100,NA
2022-2023,Aug,15,KARNATAKA,1527,UTTARA KANNADA,1023000,298.4620605,25,93,766.5089441,4014,2,29009,797298,42096,15468,29481,8361,227.89757,3374.038553,30886,52248,89352,223280,45,198823,451926,33023,2379.632039,400109,81,55,57.57,100.13,NA
2022-2023,Oct,15,KARNATAKA,1502,BENGALURU,68400,291.1966741,35,7,149.7169484,939,9,1872,71201,12687,3702,1194,394,15.0727,372.1245923,1994,3609,6874,16062,13,58389,136055,2811,207.3349439,36542,85,65.34,50.52,100.12,NA
2022-2023,Oct,15,KARNATAKA,1503,BENGALURU RURAL,1216000,298.4033994,40,450,1692.304951,5783,0,19723,1118679,163632,28008,61983,8640,146.51221,5176.993326,27421,47713,61627,144208,154,114169,260793,25506,3338.176165,556458,75,65.62,74.63,100.06,NA
2022-2023,Oct,15,KARNATAKA,1507,VIJAYPURA,3192000,305.1385553,31,1255,7822.807654,21171,0,29252,2903880,551372,72106,48453,5918,363.29616,17046.96129,91374,146439,160076,344923,370,330882,760112,50423,8860.857481,1517303,78,60.52,77.76,100.1,NA
2022-2023,Oct,15,KARNATAKA,1513,DHARWAR,1900000,305.1487898,34,174,3795.7353,17385,1,25279,1509913,132983,20373,92561,15560,219.76421,8622.980757,43658,80352,85377,226024,92,165305,414009,42664,4607.481247,655002,80,55.1,57.56,100.78,NA
2022-2023,Oct,15,KARNATAKA,1515,KALABURAGI,5320000,302.2740486,27,590,4814.659323,35819,3,30925,4529078,1114681,138739,97774,10268,307.5583,18812.44506,162123,285731,240527,523195,213,403411,937440,66744,13690.22743,2382590,62,77.8,85.26,100.06,NA
2022-2023,Oct,15,KARNATAKA,1517,HAVERI,3420000,296.2785415,36,443,6639.695144,6379,1,33201,3126247,379644,55706,355421,43818,289.51995,16191.61411,85183,163648,154439,374990,264,262755,621004,39580,9262.399016,1413578,76,46.43,60.59,100.13,NA
2022-2023,Feb,15,KARNATAKA,1511,DAKSHINA KANNADA,1567040,299.8290011,47,82,1499.816433,14522,0,25407,1459750,82746,12731,85868,11843,286.0134,6162.583676,30877,53801,72801,167771,454,166246,356482,39929,4376.753843,730406,90,74.84,59.27,100.65,NA
2022-2023,Feb,15,KARNATAKA,1528,CHIKKABALLAPURA,4720000,303.0591219,37,4032,9227.115351,18624,0,28426,2965443,632687,83158,393115,50428,492.88667,18707.04754,78463,136209,141750,353931,645,220807,539633,47050,8987.045517,1562571,79,63.78,69.48,100.31,NA
2022-2023,Feb,15,KARNATAKA,1529,RAMANAGARA,4814400,289.655737,44,355,15073.44158,81029,0,89859,4035845,543162,53470,64858,5481,609.96014,27373.4583,91406,151053,147436,327715,1069,203415,454701,170888,11690.05658,2122009,90,65.47,62.64,103.69,NA
2022-2023,Jan,15,KARNATAKA,1511,DAKSHINA KANNADA,1467440,300.5767032,46,80,1495.562377,13461,0,25609,1375317,76743,12722,80331,11834,247.53041,5876.975285,29448,51453,72727,167643,418,166011,360808,39070,4133.882498,683493,90,74.27,59.6,100.15,NA
2022-2023,Jan,15,KARNATAKA,1518,KODAGU,530400,303.7454119,40,158,1293.734534,7780,0,6067,548714,47680,8208,25382,4134,140.46028,3100.888414,13553,22686,31748,75202,78,86145,188498,13847,1666.693599,276986,76,62.4,61.73,100.05,NA
2022-2023,Jan,15,KARNATAKA,1523,RAICHUR,9282000,271.037469,42,976,15256.37473,30064,0,39575,10045405,1891219,119300,2490580,146724,1274.93842,43758.12461,234286,466418,266098,625823,871,354639,851532,69639,27226.81146,5172106,74,67.53,71.61,100.63,NA
2022-2023,Jan,15,KARNATAKA,1525,TUMAKURU,5304000,305.251282,35,534,8911.563503,38826,0,77610,3494325,456603,82637,238104,41884,664.58352,20242.61888,98839,173773,216676,512546,409,411921,987807,116436,10666.47186,1751263,83,47.74,52.98,99.89,NA
2022-2023,Jan,15,KARNATAKA,1531,VIJAYANAGARA,4596800,286.5987914,53,1033,7551.42678,21774,0,20948,6930646,1623924,109653,1541546,88637,421.08831,27835.66276,130204,263019,165533,439440,4699,240161,657171,42722,19863.14767,3547224,62,80.68,88.51,101.61,NA
2022-2023,Nov,15,KARNATAKA,1505,BALLARI,3680000,273.0868703,49,1643,3566.827164,7269,0,21372,4430577,898044,65626,1409927,91705,257.65729,15923.80852,89211,193847,107046,311143,1761,161311,474382,28641,12099.32407,2368614,57,75.33,84.16,100.06,NA
2022-2023,Nov,15,KARNATAKA,1511,DAKSHINA KANNADA,1328000,296.0491702,44,62,1464.87089,11194,0,25223,1119687,58327,12685,63507,11793,192.98039,4972.675352,25229,44203,72349,166962,304,164982,364549,36417,3314.824072,545647,90,75.06,62.54,100,NA
2022-2023,Nov,15,KARNATAKA,1516,HASSAN,3600000,300.9561553,37,535,4847.039847,22337,0,73359,3456895,511673,72995,58828,7173,751.21998,16001.99811,91080,168912,169220,415802,916,275396,663872,95696,10403.73828,1762078,82,67.92,64.56,100.13,NA
2022-2023,Nov,15,KARNATAKA,1519,KOLAR,3520000,296.5892087,39,425,7643.060508,14533,0,49632,2895684,711999,94473,217341,23372,503.16087,16734.50764,72780,118171,137521,343702,302,235918,599845,64165,8588.286264,1528629,77,59.73,63.94,100.34,NA
2022-2023,Nov,15,KARNATAKA,1523,RAICHUR,8400000,264.5708484,40,928,13726.11331,25247,0,39222,9285651,1742870,119219,2313648,146584,1082.55967,39375.79861,228836,454967,265756,625217,537,353264,878776,64469,24567.12563,4784596,74,75.53,79.47,100.06,NA
2022-2023,Nov,15,KARNATAKA,1527,UTTARA KANNADA,1320000,295.907974,30,118,1907.916218,8749,2,27661,1197984,64250,15489,43934,8398,321.45398,5774.300381,38974,66638,89730,223991,148,200487,453583,36410,3544.930183,596355,81,54.46,58.65,100.17,NA
